content,score,label
apalah pas main game musik nya suka mati sendiri males dengernya iya memang enak dengerin nya apalagi pas sambil main game lah pas aku mau masuk game tiba tiba mati knp sih?,1,negatif
bagus banget bisa dengerin musik kapan aj..,5,positif
pilihan yg sangat lengkap gampang untuk mencari sebuah lagu🎶,5,positif
musiknya bagus 👍,5,positif
"lagunya sesuai dengan keinginan ku , semuanya ada😍",5,positif
enak banget tapi cuma bisa di putar beberapa lagu,5,positif
burik sekarangg mah banyakk iklan nya,1,negatif
"musik tiba' mati sendiri, kocakk. maless bangett, sebel tauu gakk! udah aku kembali, keluar akun, hapus apk tetep ajaa kya gitu, juga iklan nya banyak! kalo iklan masih oke, ya ini musik mati sendiri ngeselinn.",1,negatif
kenapa sekarang iklannya nyampe 3 woi😭😭 sampe hafal dialog iklannya aku...,3,netral
bagus untuk saya sad /main game,5,positif
kikir bet Jing😹,1,negatif
"aplikasi gila,masa sekali iklan 4 biji,kadang 5 biji",1,negatif
iklannya ilangin bakalan dikasih bintang 5😁👍,4,positif
bagus banget aplikasi nya...seru sih meskipun banyak iklan,5,positif
"apk nya sangat bagus sehingga saya bisa memberikan bintang 5,iklan nya jarang+lagu lengkap",5,positif
menurut saya aplikasi ini bagus tapi pas enak²nya ngedengerin musik tiba tiba ada ikatan yang muncul dan juga enggak bisa di lawati padahal masih enak²nya dengerin musik Mala muncul ikutan mana lagi banyak kadang² 1-3 iklan yang muncul tolong iklanya bisa dihilangin enggak atau sedikit gitu 1 ikutan aja udh cukup plis biar nyaman jadinya ngedengerin musik🙏,3,netral
apk kikir anjg iklanya 5 kali stiap 1 lagu,1,negatif
𝗯𝗮𝗴𝘂𝘀 𝗺𝗮𝗻𝘁𝗮𝗽 𝗲𝗻𝗮𝗸 𝗹𝗮𝗵 𝗹𝗮𝗴𝘂 𝗻𝘆𝗮 𝗱𝗶 𝘀𝗽𝗼𝘁𝗶𝗳𝘆,3,netral
bagus,4,positif
bagus bisa dengar lagu buatan idola,5,positif
oke banget,5,positif
"bagus, ok, bikin ange",5,positif
bagus,5,positif
Good app forever,5,positif
banyak iklan jadi males,1,negatif
bagus bgt,5,positif
aplikasi ini gacor,5,positif
ini cukup bagus tapi ada iklan nya,4,positif
aplikasi nya keren semua lagu dan genre ada,5,positif
sangat bagus 🙏🙏🙏🙏🙏,5,positif
iklan banyak sama kalau mau ganti lagu harus bayar perasaan fulu gak gini plis tolong perbaiki,1,negatif
sudah bagus sihh? tapi tolong iklanya kuranggi atau hilanggin aja deh ..... jadinya kalo mau ndenggerin jadi GK enak,5,positif
ini aplikasii sangat bagus tapi hanya 1 kekurangan nya yaitu setiap saya mendengarkan lagu tolong iklan nya di hilangkan saja sangat mengganggu atau di ringan kan dikit iklannya jangan terlalu banyak jadi saya hanya berikan 4 bintang ⭐ semoga Ulsan saya bermanfaat sekian trimakasih ♥︎♥︎ᜊᥫ᭡❥❦❧,4,positif
ko sekarang jadi banyak iklan yah ? kalau gini trs mending di YouTube sih percuma di sini juga 😑😑,1,negatif
"enak, ngga harus standby hp nya...tdk spt youtube hp harus standby",5,positif
bagus,5,positif
suka banget aku pake buat nyuci piring 😅,5,positif
suka bgt pake aplikasi ini,5,positif
enak di dengar,5,positif
bagus.,5,positif
kikir,1,negatif
kalau gak ada wifi gak bisa tapi temen gw bisa,4,positif
bagus lagunya itu aja makasih,5,positif
mantap,5,positif
good,5,positif
tolong iklan ny agak di kurang kan udah itu aja selebih ny bagus,5,positif
asik,5,positif
ya bagus,5,positif
"pokonya bagus, semua lagu ada di sini, sukakkkkkkkkkkkkkkkk",5,positif
bagus banget jadi aku bisa dengerin lagu!!,5,positif
good,5,positif
klo ngasih iklan dipikir mas😹,5,positif
kikir bgt qaqaaa itu jugaaa iklannya dikurangin dung! ini saya mau dengerin musik bukan dengerin iklan yg sungguh tiada manfaat😇😇,1,negatif
teman di setiap waktu....,5,positif
bagus,5,positif
keren,5,positif
iklan nya lumayan lama dan juga harus bayar nih buat tanpa iklan lagi asik banget tiba-tiba ada iklan bayak dan ada cuma satu lagu kalo kita cari,3,netral
bagus,5,positif
aplikasinya bagus suaranya lancar cocok untuk mendengarkan musik yang kita inginkan,4,positif
Udhh bagusss bangettt tapiii kurang²in iklan nyaa plissss,5,positif
bagus,5,positif
bagus banget,5,positif
"bagus, tapi jangan ada fitur pembatasan karna nyuruh premium yaa. bete aku. sisanya bagus bagus aja sih hehe",4,positif
bagus bgt,5,positif
ᅠ bagus,5,positif
"Banyak banget koleksi lagu di Spotify, tinggal pilih. Sambil beberes rumah seruu sambil dengerin lagu di Spotify",5,positif
kikir bgt anjir 4 iklan,1,negatif
"Transisi Perpindahan Lagu Ngaco, Contoh seperti saya menyetel lagu barat, lagu selanjutnya malah lagu jepang. transisinya nggak cocok. Ayolah Koreksi Lagi. kalau gini mood bisa kacau jadi nggak mau dengerin lagu lagi",1,negatif
Spotify sangat seru membuat aku selalu tenang,5,positif
aku suka Apk ini,5,positif
sangat bagus hampir semua lagu dan dj ada di spotify pokoknya joss dehh,5,positif
"Aplikasi musik nya sangat bagus, di siapkan juga lirik, dan masih banyak lagi🤩",5,positif
boikot Spotify,1,negatif
"kikir, iklannya banyak !! pindah ke aplikasi lain aja",1,negatif
"maksa bener gangguin usernya sendiri, pake iklan bikinan sendiri pula, biar usernya merasa terganggu terus akhirnya berlangganan ya. no no no yaaaa kikirrrr",1,negatif
"gak tahan sama iklannya,iklannya terlalu mengganggu,1 lagu iklannya bisa 2/3 kali yang datang,pokok menggangu.",1,negatif
"tolong akun spotify saya yg login pake akun google tiba2 logout, coba login lagi katanya ""AKUN TIDAK TERDAFTAR/ADA MASALAH"", tapi pas coba buat akun baru pake ""AKUN SUDAH TERDAFTAR"". sudah ke pusat bantuan tapi muter2 penyelesaiannya!",5,positif
lebih bagus keren tidak ada iklan,3,netral
kurangin iklan percuma muter pake data klo harus di paksain premium,1,negatif
kebanyakan iklan,1,negatif
aku suka dengerin musik dan Spotify ini cocok tapi maaf nih ya tapi kok sekarang iklan nya bisa sampai 3+? padahal dulu iklan nya cuma 2 tapi kok jadi banyak dan biar ga banyak iklan juga harus berlangganan tapi itu terlalu memaksa kata aku. maaf banget nih ya tapi kurangi iklan nya ya Spotify ☺️✌️,4,positif
bagus sekali untuk para jomblo,5,positif
okbgt,5,positif
"aplikasi pelit, iklannya terlalu banyak mana jelek jelek lagi iklannya. apa apa haru premium gak jelas",1,negatif
mantap,5,positif
bagus lagu kesukaan monolog,5,positif
bnyak iklan dan boikot,1,negatif
Spotify udah gak kayak dulu lagi sekarang setiap 1 atau 2 lagu langsung iklan makin pelit dah pokok nya,3,netral
"rekomendasi playlist jangan berdasarkan artis musiknya dong, tapi berdasarkan tema/mood playlist yang saya buat. yaakali saya buat playlist METAL, terus tiba-tiba nyelip lagu mellow dan/atau dangdut. percuma bikin playlist, kalo spotify nyelipin lagu yang ga sesuai tema playlist, ngerusak mood ae. aplikasi ""tombol play warna merah"" bisa bikin rekomendasi lagu yang sesuai tema, kenapa spotify tidak?",2,negatif
pelit dan banyak iklan,1,negatif
"suka bgttt,dan iklannya juga sedikit,jadi lebih sering dengerin musik di apk ini pokoknya fav bgttttttttt♥️",5,positif
seru,5,positif
lagunya keren²,4,positif
mantap,4,positif
"not bad tapi kayanya perlu fitur pendeteksi mood, masa gua lagi nangis di setelin tenxi? maksudnya kaya yg bener aja, ga match lah 💆🏻",4,positif
bagus,5,positif
"matap, penghibur d waktu luang",5,positif
pokoknya berguna banget deh,5,positif
nice,5,positif
sekali puter lagu iklan nya 4 huh payah ah,1,negatif
"maksa banget harus premium lah ini lah itu lah... aneh mau ganti"" lagu aja harus banget dibatasi 1 hari 8 setan",1,negatif
makin kikir aja gw liat liat🗿,1,negatif
enak kalo lagi belajar,5,positif
bagus,5,positif
"suka banget,top 1 lah",5,positif
"iklan nya banyak, klo udh lama kita gk bisa milih lgu yang pengen diputar kembali",1,negatif
jelek,1,negatif
sangaaaaaaaaaaat bagus,5,positif
oke lah,5,positif
iklannya banyakkk,1,negatif
mendengarkan musik dengan santai,5,positif
"sukaaaa bangettt amaaa apll iniii😙💕 tapi pas aku coba diroblox malahh matii,atauu hp aku nya ya yg ga ngedukung? YAAA GITUU LAAAAA,I LOPE UUU DEVELOPER 🤍🤍🤍🤍🤍💫",5,positif
nice,5,positif
ok,5,positif
Great,3,netral
harus bayar cuman untuk mendengarkan musik,1,negatif
menemani dalam aktivitas,5,positif
ok,5,positif
good joob,5,positif
bagus banget 🤣🤣🤣🤣,5,positif
knpa sekarang jelek banget apk nya lagunya ga jelas lagi bikin pusing,1,negatif
sangat membantu untuk mendengarkan musik,5,positif
beuhhh gumoh iklan gue kalo pake spotify setiap beberapa menit ada lagi mana 4 sekaligus buset. Trs nihh ya itu klo semisal kita dah muter beberapa lagu yang kita pilih sendiri itu kalo mau milih lagi udah ga bisa😞,2,negatif
Bagus sekali,4,positif
mantap jiwa pokoknya.. musik lengkap,5,positif
bagus lagu yang mau di cari ada dan bisa didengerin di layar utama sambil main game dan ngesad yg pasti KDB(Keren Dan Bagus),5,positif
kita bisa denger lagu sepuas kita dan bisa lirik nya juga tanpa harus membayar,5,positif
"kenapa ya kok ad tulisan ""jelajahi premium?",4,positif
semoga bgs terus yah ni aplikasi,1,negatif
bagus sumpah bisa dengerin lagu tiap hari,5,positif
bagus bgt,5,positif
banyak iklan,1,negatif
keren,5,positif
seru. asik,5,positif
sangat cocok bagi saya,5,positif
apk bagus walaupun banyak yang gak sesuai tapi tetap semangat spotify dan kalo bisa kembangkan lagi supaya banyak yang suka itu aja saran aku 🙏🙏,5,positif
terlalu banyak iklan.,3,netral
gaa tau mau tulis apa,5,positif
"plis buat developer kurangin iklan ny lah, dlu ak suka bgt sm apl spotify krna ga trlalu bnyk iklan wlau ga premium, tpi skrng setiap udh keputar 2 atau 3 lagu lngsung bnyk iklan, klo iklan nya 1 si gpp ya msih wjar lah ini bnyk oiiiii ga worth it bgt jujurr",4,positif
👍👍👍,5,positif
Bagus sekali,5,positif
bagus dan lengkap,5,positif
"Kurang ajar bgt spotify sekarang, kikir bgt. Dulu iklan ga sebanyak sekarang. Sekarang iklan 4 kali dan sekitar 15-20 detik. Mana kadang tiap kelar 1 lagu iklan lagi, 4 pula iklannya, hadehhh",1,negatif
coba ngk berbayar bagus ni,5,positif
Lagunya enak enak di dengar saat main polybus hehheh tapi telingaku menerima semua lagu anda yang sangat bagus dan enak sekali di dengar saat tidur santai gitu makasih atas layanan anda,5,positif
lagu nya seru seru,5,positif
seru,5,positif
"bagussss bangett siii!! ga boong,stiap belajar,main,beresin kamar,akh selaluu denger lagu di sini, POKONYAA SO I LOVE",5,positif
"aplikasi yang sangat membantu untuk diriku yang sangat suka mendengar musik, semua jenis musik lengkap tidak ada yang kurang, sangat bestlah aplikasi nya",5,positif
suka banget,5,positif
"Sukaa banget omaygattttt, lopyuuu Spotify mwah",5,positif
cocok buat yg suka lagu dan koleksi lagu,5,positif
membantu banget sihh,4,positif
semua lagu add,5,positif
tau kaga lo pada sekarang kalo memilih lagu atau cari lagu dan mencet lagu tersebut ada batasannya dan kalo sudah habis kudu bayar bjierrr gilaakkk serakah banget jadi orang kecewa berat gua ama lo spotify udah gua bangga banggain malah serakah,1,negatif
"anjirr kebiasaan pake Spotify premium sekarang belum ada rezeki buat beli premium jadi kesel denger iklannya malah banyak banget lagi iklan nya, kalo bisa kurangin ya iklannya masa baru dapat puter dua lagu iklannya udah 6 iklan 😭😭",4,positif
aplikasi ya bagus jadi aku bisa dengar banyak lagu,5,positif
"Skip, aplikasi dukung isriwil",1,negatif
sedih bgt udh cinta bgt sama apk ini malah di boycott ╥﹏╥,2,negatif
bagus di dengar dan banyak pilihannya,5,positif
"udhla boikot,iklan nya bnyak,jleq uww",1,negatif
"saya pake spotify udah lama tapi makin ke sini makin gajelas 1. iklan terlalu banyak bisa sampe 5. 2. pemilihan lagu ada max-nya, dan itu dikit banget quotanya. 3. putar acaknya aneh diluar genre, lagi dgr lagu dangdut tbtb ke lagu anak2 dan bener2 gabisa diganti. 4. harga premium terlalu mahal dan terlalu banyak variasi premiumnya. mohon dipertimbangkan lagi 🙄",1,negatif
mantul,5,positif
vitur premium ribetnya bikin ampun,1,negatif
"sengaja kasih bintang lima biar komenku ke up, karna masa sekarang iklan nya ada 6? pas habis iklan 4 muncul lagi 2. skrg ni apk makin kikir dah, iya tau butuh duit, tapi kn udh banyak jg yg download, tolong ya kurangin iklan nya atau bisa aja org lari ke app yg lain",5,positif
bagus sih tapi kenapa pas mau nyetel lagu yang aku mau pas di pencet mlh lagu lain bukan yang aku mau,5,positif
"kikir bet kikir, kaya ntflix aje kalo semua mua disuruh premium, ribet",1,negatif
bagus,5,positif
mantaaapkerren dan menghiburkan diriqu,5,positif
bagus banget lagu nya,4,positif
seru bingit💗💗 aku sukaa💗,5,positif
bagus,1,negatif
kerenn nihh!!!,5,positif
lagunya enak,5,positif
good,5,positif
iklan nya lebih lama dari lagunya. sangat tidak adil jika ingin tambahan uang dari premium,2,negatif
kurang harus premium,3,netral
"ngelucu, gw putar lagu playlist. Sengaja dibiarin taunya mutar lagu lain yang ada di playlist nantinya.. lah rupanya malah mutar lagu lain yang gaada di playlist. Trus guna playlist apa?? perbaiki woi ga jelas lu. Udah iklan rame mutar lagu entah kemana mana",1,negatif
good. too much add. iklan kadang 3.lagu bagus. lengkap sama lirik.,5,positif
"ini bagus bgt,aku suka nga ada ngeleg-ngeleg, tapi ada iklan sama harus online,tapi gpp aku suka ILOVE YOU SPOTIFY✨💖💖,banyak lagi yg Kusuka✨💖💖",5,positif
satu kata saja sangat bagussssssss,5,positif
BOIKOT SPOTIFY!!,1,negatif
makin kesini makin ga jelass. pindah ke sebelah aja lah kalo gini tros ma,5,positif
apk kikir,5,positif
saya suka musik nya semua lagu bagus,5,positif
bagus,5,positif
𝙡𝙖𝙜𝙪 𝙣𝙮𝙖 𝙜𝙖 𝙨𝙚𝙨𝙪𝙖𝙞,1,negatif
"1 lagu 4 iklan😹, lawak kikir",1,negatif
bapak kamu,5,positif
gw kasih b2 iklan terlalu berlebihan,2,negatif
enak didengar,5,positif
meskipun gratis dan adaaa iklan musik tetap jalan terus,5,positif
"gua ksih 2 bintang soalnya premium ny mahal bgt njink sesuaikan dengan kantong pelajar aelah, aplgi iklan ny tdi cma 1 nmbh 2 eh nmbh lgi jadi 3 jdi g ad luang buat denger lgu yg gw sukai",2,negatif
makin lama makin banyak ni iklan nya hdeh,1,negatif
"bosen denger tiga domba,4 domba.",1,negatif
Pokoknya mantap bisa galau bisa senang pokoknya ⭐⭐⭐⭐⭐,5,positif
"sebenernya apk ini lengkap ko, bagus juga. tapi minusnya, KIKIR BANGET. masa buat pelanggan yang ga berbayar haru NONTON IKLAN MULU terus ada BATAS PEMUTARANNYA, iklannya di sedikitkan plis. terus juga jangan ada BATAS PEMUTARAN.",3,netral
singkat aja 2 musik 5 iklan,1,negatif
banguss banget kok..😁,5,positif
"sekarang jadi malas karena ada batas memutar musik,developer kikir😹😹",3,netral
bagus buat dengerin musik banyak juga lagu nya,5,positif
i like Spotify,5,positif
nyaman bgt buat di pke tidur SMA orng jomlo ke ak🗿,5,positif
good,5,positif
ok jos,5,positif
lumayan,5,positif
bagus untuk mendengar lagu,5,positif
bagus,5,positif
SERU BISA DENGER MUSIK KESUKAAN,5,positif
"Cukup bintang 5,aja",5,positif
"aplikasi kikir , makin pelit,annoying banget sumpah , ini mah maksa buat jadi premiumkan ???, makin gk bisa milih musik sendiri , iklan banyak dan panjang , teknik marketingnya ngeselin",1,negatif
"jujur yah,hari hari aku tuh jadi lebih berwarnaa",5,positif
sangat bermanfaat tik tok mon123di,5,positif
baguss approve,5,positif
lagu ini sangat tenang buat tidur,1,negatif
bagus banget lagu nya,4,positif
"ini bagus banget menurut aku🤯💗 ini bisa ngambil lagu walaupun liriknya ditengah😬 tapi enak banget lagu nya🙈 ada lagu itulah inilah terakhirnya/tengah atau depannya enakk😃💗 misalnya lagu:,Serena prom queen tapi itu yang prom queen artinya ... jangan dicari nanti insecure😔 Serena ... juga kayak lagu sehabis putus kaya izinkan ku membenci pada sang peganti... 😔 ini lagu untuk galau ya neng😃 kalo kalian lagi senang nanti kalian coba nangis sampai pagi loh ☹️",5,positif
banyak iklan bosss,1,negatif
banyak iklan,5,positif
bagus,5,positif
dari lagu lagu nya aku sangat sukaa,5,positif
gampang mode sad di ep ep,5,positif
keren,5,positif
bagus,5,positif
sabagat bagus,5,positif
bagus,5,positif
bagus bgt,5,positif
enak banget untuk denger apal agi enakin untuk galau,5,positif
sangat bagus,5,positif
sangat menyenangkan mendengar kan musik di Spotify tidak ada iklan,5,positif
100 persen deh buat Spotify aku suka banget,5,positif
selalu menemani setiap hidup ku,5,positif
sekarang harus berbayar,2,negatif
mantap,5,positif
kikir bingit,1,negatif
aplikasi nya bagus bisa menyetel lagu saat bermain game,5,positif
sukaaa bngtttt,4,positif
bagus,5,positif
bagus,5,positif
"apk asu makin lama makin banyak iklan milih lagu harus premium, dari pada premium mending gua uninstal buat kalian mending pindah ke apk sebelah",1,negatif
banyak x iklan jeng.. ribet brisik.. ganggu bngt denger musik d potong iklan..,2,negatif
"apalahh apa apa bayar premium, ingat y. byk org yg g mampu byr premium🙏",1,negatif
sejak download Spotify kerjaku sambil dengerin musik jadi berasa berwarna,5,positif
"i like this, because all my music in here",4,positif
bagus,5,positif
sangat membantu,5,positif
"aplikasi kikir, masa dengerin satu musik aja iklannya 3, guoblok. mana maksa lagi, kadang juga pas lagi mau dengerin musik ada tuh yg namanya ""cigi buyin cimi tigi puyuh inpit libi"" cuih. ni aplikasi ngeselin sumpah 😤",1,negatif
sangat bagus,5,positif
bagus bgt,4,positif
"kebanyakan iklan,nyuruh VIP Mulu terganggu!",1,negatif
"manteplah, kalau bisa jangan iklan terus",5,positif
aku suka aplikasi inii,4,positif
sangat enak untuk mendengar kan musik,5,positif
"pertama tama saya memang tidak premium tapi dulu iklannya gk sbnyak ini, tpi setelah di update tiap denger 1 lagu pasti langsung iklan lagi, knp iklan ny jdi sabnyak ini? apalagi setiap selesai dengerin 1 lagu pasti bakal ada iklan 3-4, tolong lah kurangin iklannya.",2,negatif
bagus,5,positif
bagus,5,positif
enak banget lagu nya,5,positif
lumayan lah 😋,1,negatif
🅑🅐🅖🅤🅢,5,positif
nyaman untuk musik'an,5,positif
gooodd,5,positif
apk kikir,1,negatif
bagus gak lemot,5,positif
sangat banyak lagu bagus sekali,5,positif
"Spotify ini sangat lah bagus dan lumayan berguna ketika aku ga bisa tidur solusinya Spotify, aku sarankan instal Spotify",5,positif
seru aja sih enak kalo tidur,5,positif
spotify sekarang kalau udah 4 atau 5 lagu gabisa outer lagi buat yang gratis yang gratis an kaya dikit dikit iklan terus jadi males download lagi Spotify nya,1,negatif
bagus,5,positif
aplikasi yang sangat baik,4,positif
aplikasi ini terlalu sering iklan ada 4 lagi,1,negatif
"aplikasi nya udah oke, suara dari lagunya juga udah jelas, penyanyi penyanyi di aplikasi ini juga udah lengkap, tapi satu yang jadi masalah, iklannya. tolong dong iklannya di kurang kurangi. kita yang mau santai denger musik itu jadi keganggu gegara iklannya. boleh taruh iklan, asalkan jangan berlebihan, jangan terlalu banyak, kalau cuman 1, 2 iklan kami semua bisa maklum. tapi ini banyak banget.",3,netral
"sebenernya ga ada masalah tapi makin kesini saya kurang suka sama lirik yang di berikan, kadang enggak sama atau ga tidak pas di musik nya, jadi tolong di perhatikan lagi dan di benerin😊",3,netral
gkk tau lahh pokonya bgss lahh,4,positif
aplikasi ini sangat bagusss,5,positif
"bagus, kreatif",5,positif
sy sangat senang mendengar musik dari Spotify,5,positif
"iklan nya dikurangin napa, dulu cuma 1,sekarang malah ada 4 maksa banget buat orang² beli premium, ga semua orang mampu kalii, mahal lagi premiumnya, kasian orang² gratisan tau gak? banyak yang uninstall apk ori, terus make nya yang mod premium, minimal kurangin aja dehhh iklan nya.",1,negatif
kebanyakan iklan,1,negatif
karna mantap nih buat ada lagu hantu,5,positif
"jelek banget sekarang ni apk, banyak iklan nya, iya aja kalo iklan nya cuma sekali dua kali lah ini mah empat kali, tolong segera di perbaiki lah",1,negatif
👍👍👍,5,positif
kebanyakan iklan,1,negatif
keren,5,positif
udah premi nya mahal lagunya kurang lengkap lagi 🙃🙃,3,netral
mantap mentong,5,positif
spotify nya sedap lagu hal-hal yang sangat berbeda untuk bagi yang pemula sangat diperhatikan untuk Dia yang selama ini melupakannya dan ingin ingin ingin dia bercerita kepada saya maupun dia tidak akan satupun mencintai orang yang sama sepertiku lirik lagu untuk telah habis sudah waktu ini tak lagi tersisa pada dunia karena tlah kuhabiskan cintaku hanya untukmu dan itulah seterusnya alur cerita yang bisa kusampaikan wall taufik wal hidayah wassalamualaikum warahmatullahi wabarakatuh saudaraku.,5,positif
aku sangat suka,5,positif
"iklannya kurangin dong babi, cape setiap denger malah iklan",1,negatif
mahalll ga menyesuaikan pelajar,1,negatif
Iklan sampe 4 biji co,1,negatif
sangat bagus gak gabut supaya senang,5,positif
"iklan nya ngeganggu pls apa apa harus bayar udah tau bocil gabisa,gada duit lagi",4,positif
baguss sukaa,5,positif
saya selalu merasa bahagia saat mendengar lagu-lagu yang ada di Spotify,5,positif
bagus sih tapi banyak yang premium,4,positif
APK KIKIR,1,negatif
aplikasi nya bagus,5,positif
"kikir nya mulai keliatan bgt ni, iklan nambah terus segitunya pengen bgt para pengguna berlangganan, udah mh lagu dibatesin iklan kaga ada hentinya lagi",2,negatif
sangat baik 👍👍👍👍👍,5,positif
aplikasi ini bangus sampai banyak yg Makai ini🙏,5,positif
"bagus si, tpi di aku dikit dikit iklan",5,positif
sangat bagus tapi kenapa harus bayar 🥰🗿🌷,5,positif
sporty di update mulu.. malas dowload nya,2,negatif
keren pokonya,5,positif
KEBANYAKAN IKLAN + LAGUNYA GA BISA DIULANG MUNDUR.,1,negatif
fitur yang bagus,5,positif
tambah gak enak kabeh,1,negatif
maksa banget buat jadi premium udah mah iklannya banyak+ lama,3,netral
aku suka banget sama Spotify,5,positif
bgs buat mendengarkan musik,5,positif
pengalaman gue makin ke sini sumpah makin jelek ga enak aja apa apa ada iklan terus lama banget ada 3 iklan kan gue masih pelajar gue belum bisa belum itu premium tapi tolonglah ini apk udah melebihi yutub aja terus lagunya ngacak kemna mna ga enak,1,negatif
goood,5,positif
minusnya cuma di iklan,1,negatif
oke deh,5,positif
mantap sekali,5,positif
"gila setelah update apps jadi harus maksa orang buat langganan, bintang 2",2,negatif
bagus banget tapi ada yang lagu nya jorok jorok tolong di perbaiki deh,5,positif
bagus sekali semangat terus bang,5,positif
mantep,5,positif
sangat senang dan bahagia bermanfaat bagi yg hoby musik',5,positif
"Jadi bisa denger berbagai kata-kata yang dirangkai seseorang dengan sepenuh hati, dan akhirnya tersampaikan di telingaku, dengerin lagu emg best",5,positif
katanya gaada iklan nya eh ternyata ada,3,netral
"sebenernya bagus aja, lirik nya juga ada, dan gara gara Spotify aku jadi pandai belajar menyanyi, tapi iklannya terlalu banyak jadi keganggu kalo lagi enak dengerin lagu",4,positif
lagu nya enak enak bgt,5,positif
aplikasi kikir ga ush download lu milih musik aja harus bayar kocak kikir nya ga ngotak apalagi iklan 4 aduhh mending ga ush download pakai vidmate aja,1,negatif
TOLOL IKLAN SMPE 3 KIKIR KIKIR,1,negatif
bagus,5,positif
pas di update jadi ga seru👎,1,negatif
bagus cuman ada iklan yang muncul saat main lagu,5,positif
mantap,5,positif
"aplikasi nya bagus, cuma ada satu kekurangan banyak iklan nya. dengerin 2 lagu habis itu iklan nya 4 kadang sampe 6, sama ada bug atau apa ini aku ga paham (ga bisa dengerin lagu) katanya ada yang salah coba muat ulang untuk memperbaiki udh aku tap"" tombol muat ulang masih ga terjadi apa"" tolong benerin dan pencet lagu ga terjadi apa"" juga",5,positif
sangat bagus dann banyak lagu yng aku suka 🥰,5,positif
terlalu banyak iklan,1,negatif
dulu bisa dengerin lagu sambil main game kenapa sekarang GK bisa ya maaf cuma bisa kasih tiga karena GK bisa dengerin lagu sambil main game jadi kurang seru cuma dengerin doang,3,netral
"The ads are annoying, too noisy. Very annoying time, especially when you want to sleep while listening to songs. Suddenly the sound of the ads sounded quite loud.",4,positif
bagus bgt,5,positif
bagussss,5,positif
kenapa ya Spotify kalo banyak lagu di playlist suka patah patah kalo di scroll,1,negatif
bagus bgnt dah pokoknya,5,positif
baguss bangrddd,5,positif
bagus work it do download,5,positif
"keren banget, sukaak",5,positif
"iklannya bnyak, sok asik pula",1,negatif
bagus kokk👍👍👍✨✨✨🫶🫶💐,5,positif
"mohon maaf kurangi iklan nya saya sudah muak dengan 4 iklan saya sudah hampir melupakan aplikasi ini, saya menggunakan go tube mohon perbaiki agar tidak banyak iklan terimakasih",1,negatif
suka banget ama aplikasi ya bes banget aku kasih bintang 5,5,positif
ada iklannya jadi gak enak,3,netral
